country,year,tertiary_education_%
DE,2009,23.066357
DE,2010,23.37282
DE,2011,24.903835
DE,2012,25.742893
DE,2013,26.347219
NL,2009,31.024853
NL,2010,30.543089
NL,2011,30.674158
NL,2012,33.271935
NL,2013,33.92601
PT,2009,17.297443
PT,2010,18.538366
PT,2011,19.913658
PT,2012,21.41597
ES,2009,31.115898
ES,2010,32.491753
ES,2011,33.326809
ES,2012,34.241261
PT,2013,23.073732
ES,2013,35.431107
DE,2014,23.663828
NL,2014,35.238052
PT,2014,25.85040855407715
ES,2014,36.547832
DE,2018,26.440598
NL,2018,40.861336
PT,2018,29.89252662658691
ES,2018,39.846661
DE,2017,25.732599
NL,2017,39.133789
PT,2017,28.55033493041992
ES,2017,38.934372
DE,2016,25.228304
NL,2016,37.542702
PT,2016,27.90406608581543
ES,2016,38.397327
DE,2015,24.437277
NL,2015,36.480492
PT,2015,26.93748474121094
ES,2015,37.504776
DE,2024,32.5320930480957
NL,2024,47.06541442871094
PT,2024,36.37259292602539
ES,2024,45.55783081054688
DE,2019,27.315199
NL,2019,41.413002
PT,2019,30.76453399658203
ES,2019,41.339748
DE,2020,28.971186
NL,2020,42.912846
PT,2020,32.19895553588867
ES,2020,42.658867
DE,2023,31.50841331
NL,2023,45.91274643
PT,2023,34.25144958496094
ES,2023,44.97808075
DE,2021,29.037636
NL,2021,43.809566
PT,2021,34.13312149047852
ES,2021,43.64483261
DE,2022,30.45497131
NL,2022,45.707039
PT,2022,34.51711273193359
ES,2022,44.719719
