country,year,flfp,tertiary_education_%,gdp_per_capita,gender_pay_gap_%
DE,2009,72.7,23.066357,42471.8868625226,22.6
DE,2010,73.2,23.37282,42396.9665976293,22.3
DE,2011,74.1,24.903835,47630.9761883572,22.4
DE,2012,74.3,25.742893,44718.0159214069,22.7
DE,2013,75.0,26.347219,47206.8353514242,22.1
DE,2014,75.4,23.663828,48959.5991203133,22.3
DE,2015,75.6,24.437277,41929.7549110722,21.8
DE,2016,76.2,25.228304,42948.9381932694,21.1
DE,2017,76.6,25.732599,45553.9341495339,20.4
DE,2018,77.0,26.440598,48916.1686612154,20.1
DE,2019,77.7,27.315199,47656.199739747,19.2
DE,2020,77.0,28.971186,47394.8734504469,18.3
DE,2021,78.3,29.037636,52349.2459994422,17.6
DE,2022,79.2,30.45497131,50506.5179638543,17.7
DE,2023,79.6,31.50841331,54776.7668235491,17.6
DE,2024,80.0,32.5320930480957,56103.7323182554,15.6
ES,2009,68.9,31.115898,32279.8208476151,16.7
ES,2010,70.1,32.491753,30658.7422282912,16.2
ES,2011,71.3,33.326809,31824.6219134777,17.6
ES,2012,72.4,34.241261,28456.4438151477,18.7
ES,2013,72.9,35.431107,29228.846559842,17.8
ES,2014,73.1,36.547832,29707.765509467,14.9
ES,2015,73.4,37.504776,25982.4416197775,14.1
ES,2016,73.7,38.397327,26755.6061149398,14.8
ES,2017,73.4,38.934372,28381.3425596906,13.5
ES,2018,73.2,39.846661,30602.4212881113,11.9
ES,2019,73.7,41.339748,29786.5245689007,9.6
ES,2020,72.5,42.658867,27233.9426461608,9.3
ES,2021,74.4,43.64483261,30799.4775937775,9.3
ES,2022,74.6,44.719719,30319.4987196616,9.2
ES,2023,75.7,44.97808075,33493.2225409111,7.3
ES,2024,75.8,45.55783081054688,35326.7683069278,7.3
NL,2009,75.0,31.024853,53172.0261581418,18.5
NL,2010,75.4,30.543089,51305.7338533973,17.8
NL,2011,75.9,30.674158,54701.7728030611,18.8
NL,2012,77.0,33.271935,50473.9442002689,18.0
NL,2013,77.5,33.92601,52602.2860520766,17.2
NL,2014,77.0,35.238052,53457.2234864322,17.0
NL,2015,77.8,36.480492,45793.8135434697,16.1
NL,2016,78.0,37.542702,46808.5291492503,15.6
NL,2017,78.4,39.133789,49513.6817346384,15.1
NL,2018,78.8,40.861336,53955.0770024266,14.7
NL,2019,79.7,41.413002,53554.9007491475,14.9
NL,2020,80.1,42.912846,53467.9277413737,14.7
NL,2021,80.6,43.809566,60141.9880911492,14.3
NL,2022,81.5,45.707039,59123.318556487,14.0
NL,2023,82.2,45.91274643,63515.6030780019,12.5
NL,2024,82.3,47.06541442871094,67465.3208126875,11.2
PT,2009,69.5,17.297443,23151.2154130712,10.0
PT,2010,70.7,18.538366,22551.935098809,12.8
PT,2011,72.1,19.913658,23246.5425416481,12.9
PT,2012,72.4,21.41597,20593.4274224109,15.0
PT,2013,72.7,23.073732,21676.4859642714,13.3
PT,2014,73.7,25.85040855407715,22120.6850127107,14.9
PT,2015,74.3,26.93748474121094,19215.7813014347,16.0
PT,2016,74.9,27.90406608581543,19980.2808866516,13.9
PT,2017,76.2,28.55033493041992,21442.3842768879,10.8
PT,2018,77.2,29.89252662658691,23541.1401075289,8.9
PT,2019,77.6,30.76453399658203,23343.3628970034,9.4
PT,2020,76.6,32.19895553588867,22299.4044062173,8.3
PT,2021,78.1,34.13312149047852,24711.4510062111,7.1
PT,2022,79.4,34.51711273193359,24620.5197587181,6.3
PT,2023,80.8,34.25144958496094,27634.6183139773,8.6
PT,2024,81.2,36.37259292602539,29328.3067415343,7.0
